날짜,미국계좌 공제분,ISA원금,ISA수익금,연금저축원금,연금저축수익금,국내일반계좌,미국계좌 과세분,총평가액,당월실수령액,당월납부세금
2006-01-31,46968913,196131756,0,49545198,4128971,0,0,296774838,4000000,0
2006-02-28,46537654,194330912,0,45545198,3636145,0,0,290049908,4000000,0
2006-03-31,47535239,198496607,0,41545198,4690401,0,0,292267445,4000000,0
2006-04-30,46047654,192284783,0,37545198,3243488,0,0,279121123,4000000,0
2006-05-31,42826972,178835930,0,33545198,390630,0,0,255598730,4000000,0
2006-06-30,42945525,179330979,0,29545198,484571,0,0,252306272,4000000,0
2006-07-31,41372946,172764238,0,24930138,0,0,0,239067322,4000000,0
2006-08-31,43628252,182181895,0,21545198,743923,0,0,248099267,4000000,0
2006-09-30,44935191,187639383,0,17545198,1411621,0,0,251531393,4000000,0
2006-10-31,46879533,195758526,0,13545198,2231881,0,0,258415138,4000000,0
2006-11-30,47807675,199634241,0,9545198,2544243,0,0,259531357,4000000,0
2006-12-31,46959981,196094456,0,5545198,2329881,0,0,250929515,4000000,0
2007-01-31,48517238,200000000,2597215,1545198,2591029,0,0,255250679,4000000,0
2007-02-28,47768476,197015751,0,0,2527195,0,0,247311423,4000000,0
2007-03-31,47958025,193545198,252328,0,2537224,0,0,244292774,4000000,0
2007-04-30,50091820,189545198,8874954,0,2650112,0,0,251162084,4000000,0
2007-05-31,51472336,185545198,14343353,0,2723148,0,0,254084035,4000000,0
2007-06-30,51451362,181545198,14261906,0,2722039,0,0,249980505,4000000,0
2007-07-31,51175252,177545198,13211121,0,2707431,0,0,244639002,4000000,0
2007-08-31,53711580,173545198,22665309,0,2841616,0,0,252763703,4000000,0
2007-09-30,55056143,169545198,27577051,0,2912750,0,0,255091141,4000000,0
2007-10-31,58262008,165545198,39055286,0,3082357,0,0,265944848,4000000,0
2007-11-30,55388120,161545198,28962966,0,2930313,0,0,248826597,4000000,0
2007-12-31,50000000,157545198,31907287,0,2975602,0,6244149,248672236,4000000,0
2008-01-31,44412825,157545198,10737203,2273964,2643097,0,0,217612287,4000000,0
2008-02-29,42240596,155819162,2506519,0,2402604,0,0,202968881,4000000,0
2008-03-31,45121899,151819162,13306183,0,2566490,0,0,212813734,4000000,0
2008-04-30,49532094,147819162,29445466,0,2817338,0,0,229614061,4000000,0
2008-05-31,53696711,143819162,44349726,0,3054217,0,0,244919816,4000000,0
2008-06-30,49397303,139819162,29283350,0,2809671,0,0,221309486,4000000,0
2008-07-31,48037954,135819162,24629871,0,2732352,0,0,211219340,4000000,0
2008-08-31,52469443,131819162,39431254,0,2984411,0,0,226704270,4000000,0
2008-09-30,49068018,127819162,28329639,0,2790941,0,0,208007760,4000000,0
2008-10-31,43924499,123819162,11961455,0,2498383,0,0,182203499,4000000,0
2008-11-30,44688875,119819162,14324318,0,2541860,0,0,181374216,4000000,0
2008-12-31,39292750,113945824,0,0,2234934,0,0,155473508,4000000,0
2009-01-31,41984277,111819162,5931874,0,2388025,0,0,162123338,4000000,0
2009-02-28,44177780,107819162,12083873,0,2512789,0,0,166593604,4000000,0
2009-03-31,43632291,103819162,10603360,0,2481762,0,0,160536576,4000000,0
2009-04-30,45905161,99819162,16563797,0,2611041,0,0,164899162,4000000,0
2009-05-31,46339348,95819162,17664588,0,2635737,0,0,162458835,4000000,0
2009-06-30,48643512,91819162,23307420,0,2766796,0,0,166536890,4000000,0
2009-07-31,50623570,87819162,27993705,0,2879420,0,0,169315858,4000000,0
2009-08-31,52452210,83819162,32177132,0,2983431,0,0,171431935,4000000,0
2009-09-30,52173256,79819162,31560235,0,2967564,0,0,166520218,4000000,0
2009-10-31,50881615,75819162,28802842,0,2894097,0,0,158397717,4000000,0
2009-11-30,53305693,71819162,33787194,0,3031976,0,0,161944025,4000000,0
2009-12-31,50000000,67819162,39210159,0,3187670,0,6042980,166259972,4000000,0
2010-01-31,46566079,67819162,31859555,2057181,2968746,0,0,151270724,4000000,0
2010-02-28,48722542,65876343,36475650,0,3201496,0,0,154276031,4000000,0
2010-03-31,51220700,61876343,41723558,0,3365646,0,0,158186247,4000000,0
2010-04-30,51295299,57876343,41874443,0,3370548,0,0,154416634,4000000,0
2010-05-31,51211874,53876343,41712211,0,3365066,0,0,150165495,4000000,0
2010-06-30,49213823,49876343,37982788,0,3233777,0,0,140306731,4000000,0
2010-07-31,51106119,45876343,41361015,0,3358117,0,0,141701594,4000000,0
2010-08-31,49140746,41876343,38006153,0,3228975,0,0,132252218,4000000,0
2010-09-30,52926106,37876343,44159581,0,3477706,0,0,138439737,4000000,0
2010-10-31,55485739,33876343,48127035,0,3645897,0,0,141135015,4000000,0
2010-11-30,57026111,29876343,50403578,0,3747113,0,0,141053145,4000000,0
2010-12-31,50000000,25876343,52289442,0,3835136,0,8365717,140366639,4000000,0
2011-01-31,50890914,25876343,53682221,4385237,3903472,0,0,138738188,4000000,0
2011-02-28,52715239,25876343,56534217,385237,4200603,0,0,139711640,4000000,0
2011-03-31,51243665,22261581,54233683,0,4072587,0,0,131811517,4000000,0
2011-04-30,51329876,18261581,54362376,0,4079439,0,0,128033271,4000000,0
2011-05-31,51159914,14261581,54121906,0,4065931,0,0,123609331,4000000,0
2011-06-30,49579648,10261581,52009625,0,3940340,0,0,115791193,4000000,0
2011-07-31,49823822,6261581,52316304,0,3959745,0,0,112361452,4000000,0
2011-08-31,47742531,2261581,49869329,0,3794335,0,0,103667775,4000000,0
2011-09-30,48874673,0,53003745,0,4022473,0,0,105900890,4000000,0
2011-10-31,46812668,0,55105468,0,4181973,0,0,106100109,4000000,0
2011-11-30,42699422,0,54972161,0,4171856,0,0,101843439,4000000,0
2011-12-31,39123966,0,55518728,0,4213335,0,0,98856030,4000000,0
2012-01-31,37216626,0,58488309,0,4438698,0,0,100143633,4000000,0
2012-02-29,35299697,0,61761989,0,4687139,0,0,101748825,4000000,0
2012-03-31,33536355,0,65713397,0,4987012,0,0,104236764,4000000,21746
2012-04-30,28664133,0,64867394,0,4922809,0,0,98454336,4000000,440470
2012-05-31,23401378,0,62966020,0,4778513,0,0,91145912,4000000,422560
2012-06-30,19027047,0,63099248,0,4788624,0,0,86914918,4000000,423846
2012-07-31,14609249,0,63119966,0,4790196,0,0,82519410,4000000,424045
2012-08-31,10950887,0,66564941,0,5051636,0,0,82567464,4000000,455709
2012-09-30,6384384,0,65853144,0,4997618,0,0,77235146,4000000,449402
2012-10-31,1527808,0,61195510,0,4644148,0,0,67367467,4000000,405024
2012-11-30,0,0,61517561,0,1547157,0,0,63064718,4000000,657281
2012-12-31,50000000,1884333,0,0,0,0,0,51884333,4000000,5811815
2013-01-31,50389527,0,94412,0,0,0,0,50483940,4000000,0
2013-02-28,46397318,0,94427,0,0,0,0,46491745,4000000,0
2013-03-31,45061118,0,99848,0,0,0,0,45160966,4000000,0
2013-04-30,41749290,0,101373,0,0,0,0,41850663,4000000,0
2013-05-31,40334988,0,107652,0,0,0,0,40442640,4000000,0
2013-06-30,35791021,0,106200,0,0,0,0,35897221,4000000,0
2013-07-31,33424495,0,111047,0,0,0,0,33535542,4000000,0
2013-08-31,28899532,0,109303,0,0,0,0,29008834,4000000,0
2013-09-30,25310466,0,110857,0,0,0,0,25421323,4000000,0
2013-10-31,22136508,0,114997,0,0,0,0,22251505,4000000,119193
2013-11-30,18630563,0,118736,0,0,0,0,18749299,4000000,225714
2013-12-31,14885154,0,121921,0,0,0,0,15007075,4000000,245234
