경과월,미국계좌 공제분,ISA원금,ISA수익금,연금저축원금,연금저축수익금,국내일반계좌,미국계좌 과세분,총평가액,당월실수령액,당월납부세금
26,25400297,100000000,21243767,54000000,5921145,121241399,0,327806607,5000000,111455
27,25602842,100000000,22210582,54000000,6398964,117091269,0,325303658,5000000,116926
28,25807003,100000000,23185106,54000000,6880594,112902607,0,322775310,5000000,122365
29,26012792,100000000,24167402,54000000,7366065,108675136,0,320221394,5000000,127772
30,26220221,100000000,25157530,54000000,7855406,104408579,0,317641737,5000000,133148
31,26429305,100000000,26155554,54000000,8348650,100102656,0,315036164,5000000,138492
32,26640056,100000000,27161536,54000000,8845827,95757083,0,312404502,5000000,143805
33,26852487,100000000,28175540,54000000,9346968,91371576,0,309746572,5000000,149087
34,27066613,100000000,29197630,54000000,9852106,86945848,0,307062197,5000000,154338
35,27282446,100000000,30227870,54000000,10361272,82479608,0,304351195,5000000,159558
36,25000000,100000000,31266325,72000000,10874497,59379475,2500000,301020297,5000000,164747
37,25199354,100000000,32313061,72000000,11535350,57268022,0,298315787,5000000,84953
38,25400297,100000000,33368144,72000000,12201473,52549652,0,295519565,5000000,175034
39,25602842,100000000,34431640,72000000,12872907,47788559,0,292695949,5000000,180131
40,25807003,100000000,35503617,72000000,13549696,42984434,0,289844750,5000000,185198
41,26012792,100000000,36584142,72000000,14231881,38136964,0,286965778,5000000,190234
42,26220221,100000000,37673283,72000000,14919506,33245832,0,284058843,5000000,195241
43,26429305,100000000,38771109,72000000,15612615,28310722,0,281123750,5000000,200217
44,26640056,100000000,39877689,72000000,16311250,23331312,0,278160307,5000000,205164
45,26852487,100000000,40993094,72000000,17015456,18307278,0,275168316,5000000,210080
46,27066613,100000000,42117392,72000000,17725278,13238296,0,272147579,5000000,214967
47,27282446,100000000,43250657,72000000,18440760,8124035,0,269097897,5000000,219825
48,25000000,100000000,44392957,74836710,19161947,0,2500000,265891614,5000000,0
49,25199354,100000000,45544367,72336710,19911506,0,0,262991936,5000000,0
50,25400297,100000000,46704958,67336710,20647106,0,0,260089071,5000000,0
51,25602842,100000000,47874804,62336710,21348701,0,0,257163058,5000000,0
52,25807003,100000000,49053979,57336710,22016020,0,0,254213712,5000000,0
53,26012792,100000000,50242556,52336710,22648790,0,0,251240848,5000000,0
54,26220221,100000000,51440611,47336710,23246735,0,0,248244278,5000000,0
55,26429305,100000000,52648220,42336710,23809577,0,0,245223812,5000000,0
56,26640056,100000000,53865458,37336710,24337037,0,0,242179261,5000000,0
57,26852487,100000000,55092403,32336710,24828832,0,0,239110433,5000000,0
58,27066613,100000000,56329132,27336710,25284678,0,0,236017133,5000000,0
59,27282446,100000000,57575722,22336710,25704289,0,0,232899167,5000000,0
60,25000000,100000000,58832253,17336710,26087374,0,2500000,229756337,5000000,0
61,25199354,100000000,60098804,14836710,26433644,0,0,226568511,5000000,0
62,25400297,100000000,61375454,9836710,26762740,0,0,223375200,5000000,0
63,25602842,100000000,62662285,4836710,27054589,0,0,220156426,5000000,0
64,25807003,99836710,63959377,0,27308895,0,0,216911984,5000000,0
65,26012792,94836710,65265510,0,27526660,0,0,213641671,5000000,0
66,26220221,89836710,66542187,0,27746161,0,0,210345279,5000000,0
67,26429305,84836710,67789174,0,27967413,0,0,207022602,5000000,0
68,26640056,79836710,69006235,0,28190429,0,0,203673429,5000000,0
69,26852487,74836710,70193129,0,28415223,0,0,200297550,5000000,0
70,27066613,69836710,71349618,0,28641810,0,0,196894751,5000000,0
71,27282446,64836710,72475457,0,28870204,0,0,193464817,5000000,0
72,25000000,59836710,73570404,0,29100419,0,2500000,190007533,5000000,0
73,25199354,57336710,74634211,0,29332470,0,0,186502744,5000000,0
74,25400297,52336710,75686565,0,29566371,0,0,182989943,5000000,0
75,25602842,47336710,76707441,0,29802138,0,0,179449131,5000000,0
76,25807003,42336710,77696586,0,30039784,0,0,175880083,5000000,0
77,26012792,37336710,78653749,0,30279326,0,0,172282576,5000000,0
78,26220221,32336710,79578673,0,30520777,0,0,168656381,5000000,0
79,26429305,27336710,80471102,0,30764154,0,0,165001271,5000000,0
80,26640056,22336710,81330777,0,31009472,0,0,161317014,5000000,0
81,26852487,17336710,82157436,0,31256746,0,0,157603379,5000000,0
82,27066613,12336710,82950816,0,31505991,0,0,153860130,5000000,0
83,27282446,7336710,83710652,0,31757225,0,0,150087032,5000000,0
84,25000000,2336710,84436677,0,32010461,0,2500000,146283847,5000000,0
85,25036063,0,85128620,0,32265717,0,0,142430400,5000000,0
86,19938641,0,85807447,0,32523008,0,0,138269097,5000000,297063
87,14492939,0,86491688,0,32782351,0,0,133766978,5000000,604696
88,8998234,0,87181385,0,33043762,0,0,129223381,5000000,610274
89,3454169,0,87876581,0,33307258,0,0,124638009,5000000,615818
90,0,0,88577322,0,31293666,0,0,119870987,5000000,760902
91,0,0,89283650,0,25555182,0,0,114838831,5000000,988024
92,0,0,89995610,0,19770939,0,0,109766549,5000000,988024
93,0,0,90713248,0,13940571,0,0,104653818,5000000,988024
94,0,0,91436608,0,8063711,0,0,99500319,5000000,988024
95,0,0,92165736,0,2139988,0,0,94305724,5000000,988024
96,25000000,20000000,0,18000000,0,17702650,0,80702650,5000000,9355081
97,25199354,20000000,159483,18000000,143535,12837715,0,76340086,5000000,6099
98,25400297,20000000,320237,18000000,288214,7927920,0,71936668,5000000,12164
99,25602842,20000000,482274,18000000,434046,2972942,0,67492105,5000000,18196
100,25807003,20000000,645602,15982218,581042,0,0,63015865,5000000,14431
101,26012792,20000000,810233,10982218,713120,0,0,58518363,5000000,0
102,26220221,20000000,976177,5982218,806380,0,0,53984996,5000000,0
103,26429305,20000000,1143444,982218,860513,0,0,49415480,5000000,0
104,26640056,15982218,1312045,0,875208,0,0,44809526,5000000,0
105,26852487,10982218,1449952,0,882187,0,0,40166844,5000000,0
106,27066613,5982218,1549087,0,889221,0,0,35487140,5000000,0
107,27282446,982218,1609143,0,896312,0,0,30770119,5000000,0
108,23482218,0,1629807,0,903459,0,0,26015484,5000000,0
109,18669469,0,1642803,0,910664,0,0,21222936,5000000,0
110,13818342,0,1655903,0,917925,0,0,16392170,5000000,0
111,8928531,0,1669108,0,925245,0,0,11522884,5000000,0
112,3990647,0,1682417,0,932623,0,0,6605688,5000000,9081
113,1130322,0,0,0,0,0,0,1130322,5000000,528040
114,0,0,0,0,0,0,0,0,1137353,1983
