경과월,미국계좌 공제분,ISA원금,ISA수익금,연금저축원금,연금저축수익금,국내일반계좌,미국계좌 과세분,총평가액,당월실수령액,당월납부세금
26,25400297,100000000,21243767,54000000,5921145,121241399,0,327806607,5000000,111455
27,25602842,100000000,22210582,54000000,6398964,117091269,0,325303658,5000000,116926
28,25807003,100000000,23185106,54000000,6880594,112902607,0,322775310,5000000,122365
29,26012792,100000000,24167402,54000000,7366065,108675136,0,320221394,5000000,127772
30,26220221,100000000,25157530,54000000,7855406,104408579,0,317641737,5000000,133148
31,26429305,100000000,26155554,54000000,8348650,100102656,0,315036164,5000000,138492
32,26640056,100000000,27161536,54000000,8845827,95757083,0,312404502,5000000,143805
33,26852487,100000000,28175540,54000000,9346968,91371576,0,309746572,5000000,149087
34,27066613,100000000,29197630,54000000,9852106,86945848,0,307062197,5000000,154338
35,27282446,100000000,30227870,54000000,10361272,82479608,0,304351195,5000000,159558
36,25000000,100000000,31266325,72000000,10874497,59379475,2500000,301020297,5000000,164747
37,25199354,100000000,32313061,72000000,11535350,57268022,0,298315787,5000000,84953
38,25400297,100000000,33368144,72000000,12201473,52549652,0,295519565,5000000,175034
39,25602842,100000000,34431640,72000000,12872907,47788559,0,292695949,5000000,180131
40,25807003,100000000,35503617,72000000,13549696,42984434,0,289844750,5000000,185198
41,26012792,100000000,36584142,72000000,14231881,38136964,0,286965778,5000000,190234
42,26220221,100000000,37673283,72000000,14919506,33245832,0,284058843,5000000,195241
43,26429305,100000000,38771109,72000000,15612615,28310722,0,281123750,5000000,200217
44,26640056,100000000,39877689,72000000,16311250,23331312,0,278160307,5000000,205164
45,26852487,100000000,40993094,72000000,17015456,18307278,0,275168316,5000000,210080
46,27066613,100000000,42117392,72000000,17725278,13238296,0,272147579,5000000,214967
47,27282446,100000000,43250657,72000000,18440760,8124035,0,269097897,5000000,219825
48,25000000,100000000,44392957,74836710,19161947,0,2500000,265891614,5000000,0
49,25199354,100000000,45544367,72336710,19911506,0,0,262991936,5000000,0
50,25400297,100000000,46704958,67336710,20647106,0,0,260089071,5000000,0
51,25602842,100000000,47874804,62336710,21348701,0,0,257163058,5000000,0
52,25807003,100000000,49053979,57336710,22016020,0,0,254213712,5000000,0
53,26012792,100000000,50242556,52336710,22648790,0,0,251240848,5000000,0
54,26220221,100000000,51440611,47336710,23246735,0,0,248244278,5000000,0
55,26429305,100000000,52648220,42336710,23809577,0,0,245223812,5000000,0
56,26640056,100000000,53865458,37336710,24337037,0,0,242179261,5000000,0
57,26852487,100000000,55092403,32336710,24828832,0,0,239110433,5000000,0
58,27066613,100000000,56329132,27336710,25284678,0,0,236017133,5000000,0
59,27282446,100000000,57575722,22336710,25704289,0,0,232899167,5000000,0
60,25000000,100000000,58832253,17336710,26087374,0,2500000,229756337,5000000,0
61,25199354,100000000,60098804,14836710,26433644,0,0,226568511,5000000,0
62,25400297,100000000,61375454,9836710,26762740,0,0,223375200,5000000,0
63,25602842,100000000,62662285,4836710,27054589,0,0,220156426,5000000,0
64,25807003,100000000,63959377,0,27113338,0,0,216879717,5000000,32267
65,26012792,100000000,65266812,0,21341519,0,0,212621122,5000000,988024
66,26220221,100000000,66584672,0,15523676,0,0,208328569,5000000,988024
67,26429305,100000000,67913042,0,9659440,0,0,204001786,5000000,988024
68,26640056,100000000,69252004,0,3748441,0,0,199640501,5000000,988024
69,26852487,98154907,70601643,0,0,0,0,195609038,5000000,623425
70,27066613,93154907,71947332,0,0,0,0,192168852,5000000,0
71,27282446,88154907,73263880,0,0,0,0,188701233,5000000,0
72,25000000,83154907,74551056,0,0,0,2500000,185205964,5000000,0
73,25199354,80654907,75808626,0,0,0,0,181662887,5000000,0
74,25400297,75654907,77056288,0,0,0,0,178111492,5000000,0
75,25602842,70654907,78274029,0,0,0,0,174531778,5000000,0
76,25807003,65654907,79461609,0,0,0,0,170923519,5000000,0
77,26012792,60654907,80618788,0,0,0,0,167286487,5000000,0
78,26220221,55654907,81745325,0,0,0,0,163620453,5000000,0
79,26429305,50654907,82840973,0,0,0,0,159925185,5000000,0
80,26640056,45654907,83905488,0,0,0,0,156200451,5000000,0
81,26852487,40654907,84938621,0,0,0,0,152446016,5000000,0
82,27066613,35654907,85940121,0,0,0,0,148661642,5000000,0
83,27282446,30654907,86909737,0,0,0,0,144847090,5000000,0
84,25000000,25654907,87847214,0,0,0,2500000,141002121,5000000,0
85,25199354,23154907,88752296,0,0,0,0,137106557,5000000,0
86,25400297,18154907,89644660,0,0,0,0,133199864,5000000,0
87,25602842,13154907,90504269,0,0,0,0,129262018,5000000,0
88,25807003,8154907,91330862,0,0,0,0,125292772,5000000,0
89,26012792,3154907,92124175,0,0,0,0,121291874,5000000,0
90,26220221,20000000,0,18000000,0,44041341,0,108261562,5000000,8997510
91,26429305,20000000,159483,18000000,143535,39386433,0,104118756,5000000,6099
92,26640056,20000000,320237,18000000,288214,34688342,0,99936849,5000000,12164
93,26852487,20000000,482274,18000000,434046,29946755,0,95715563,5000000,18196
94,27066613,20000000,645602,18000000,581042,25161360,0,91454617,5000000,24195
95,27282446,20000000,810233,18000000,729210,20331840,0,87153729,5000000,30160
96,25000000,20000000,976177,33347094,878559,0,2500000,82701830,5000000,16942
97,25199354,20000000,1143444,30847094,1151479,0,0,78341370,5000000,0
98,25400297,20000000,1312045,25847094,1406641,0,0,73966076,5000000,0
99,25602842,20000000,1481990,20847094,1623966,0,0,69555891,5000000,0
100,25807003,20000000,1653290,15847094,1803153,0,0,65110540,5000000,0
101,26012792,20000000,1825957,10847094,1943899,0,0,60629740,5000000,0
102,26220221,20000000,2000000,5847094,2045896,0,0,56113211,5000000,0
103,26429305,20000000,2175431,847094,2108836,0,0,51560665,5000000,0
104,26640056,17627653,2352261,0,0,0,0,46619970,5000000,351847
105,26852487,12627653,2511584,0,0,0,0,41991724,5000000,0
106,27066613,7627653,2632306,0,0,0,0,37326572,5000000,0
107,27282446,2627653,2714120,0,0,0,0,32624219,5000000,0
108,25000000,0,0,0,0,0,2459835,27459835,5000000,424534
109,22564809,0,0,0,0,0,0,22564809,5000000,94380
110,17019931,0,0,0,0,0,0,17019931,5000000,724813
111,11425990,0,0,0,0,0,0,11425990,5000000,729660
112,5782626,0,0,0,0,0,0,5782626,5000000,734477
113,89474,0,0,0,0,0,0,89474,5000000,739263
114,0,0,0,0,0,0,0,0,78505,11682
